EQPTNAME,KW,STATR_VOL,STATR_CUR,ROTOR_VOL,ROTOR_CUR,SPEED,MAKE,MNTNG,DE,NDE,FRAME,AREA,LOCATION,COUPLING,REMARKS
DRAINAGE MOTOR-1,0,0,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
DRAINAGE MOTOR-2,0,0,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
DRAINAGE MOTOR-3,0,0,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
DRAINAGE MOTOR-4,0,0,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
SKIP HOIST MOTOR-1,11,415,23,0,0,970,KEC,FOOT,6310,6309,NE 180,BF1,NO DATA,NO DATA,NO DATA
SKIP HOIST MOTOR-2,11,415,23,0,0,970,KEC,FOOT,6310,6309,NE 180,BF1,NO DATA,NO DATA,NO DATA
SKIP HOIST MOTOR-3,11,415,23,0,0,970,KEC,FOOT,6310,6309,NE 180,BF1,NO DATA,NO DATA,NO DATA
SKIP HOIST MOTOR-4,11,415,23,0,0,970,KEC,FOOT,6310,6309,NE 180,BF1,NO DATA,NO DATA,NO DATA
SPRAYER MOTOR-1/PE BAY VE,5.5,415,10.3,0,0,2880,JYOTHI,FOOT,NO DATA,NO DATA,112ME,BF1,NO DATA,NO DATA,NO DATA
SPRAYER MOTOR-2/PE BAY VE,5.5,415,10.3,0,0,2880,JYOTHI,FOOT,NO DATA,NO DATA,112ME,BF1,NO DATA,NO DATA,NO DATA
SPRAYER MOTOR-1/PE BAY VE,5.5,415,10.3,0,0,2880,JYOTHI,FOOT,NO DATA,NO DATA,112ME,BF1,NO DATA,NO DATA,NO DATA
SPRAYER MOTOR-2/PE BAY VE,5.5,415,10.3,0,0,2880,JYOTHI,FOOT,NO DATA,NO DATA,112ME,BF1,NO DATA,NO DATA,NO DATA
C1 CONVEYOR MOTOR,110,415,189,0,0,1465,CGL,FOOT,N317,6317,K315S,BF1,NO DATA,NO DATA,NO DATA
C2 CONVEYOR MOTOR,110,415,189,0,0,1465,CGL,FOOT,N317,6314,K315S,BF1,NO DATA,NO DATA,NO DATA
AIR FILTER LUBRICATION MO,0.19,415,0.7,0,0,0,SMNS,FLAN,6204,6204,D80C,BF1,NO DATA,NO DATA,NO DATA
AIR FILTER LUBRICATION MO,0.19,415,0.7,0,0,0,SMNS,FLAN,6204,6204,D80C,BF1,NO DATA,NO DATA,NO DATA
PLATE FEEDER-003,5.5,415,12.5,0,0,710,KEC,FOOT,6309,6209,KH160M,BF1,NO DATA,NO DATA,NO DATA
TOOTH ROLL CRUSHER-004-1/,11,415,24,0,0,720,KEC,FOOT,6310,6309,LD180LMK11,BF1,NO DATA,NO DATA,NO DATA
TOOTH ROLL CRUSHER-004-1/,11,415,24,0,0,720,KEC,FOOT,6310,6309,LD180LMK11,BF1,NO DATA,NO DATA,NO DATA
TWO ROLL CRUSHER-004-2/1,15,415,30,0,0,725,KEC,FOOT,6132,6310,LD200LMK11,BF1,NO DATA,NO DATA,NO DATA
TWO ROLL CRUSHER-004-2/2,15,415,30,0,0,725,KEC,FOOT,6132,6310,LD200LMK11,BF1,NO DATA,NO DATA,NO DATA
INCLINED BELT CONVEYOR-00,3.7,415,8.3,0,0,950,KEC,FOOT,6308,6208,KH132S,BF1,NO DATA,NO DATA,NO DATA
INCLINED BELT CONVEYOR-00,3.7,415,8.3,0,0,950,KEC,FOOT,6308,6208,KH132S,BF1,NO DATA,NO DATA,NO DATA
ROTARY DRIER-007,18.5,415,34,0,0,1460,SMNS,FOOT,6310,6310,180M,BF1,NO DATA,NO DATA,NO DATA
COMBUSTION AIR FAN-007/2,11,415,22.2,0,0,1450,BBL,FOOT,6310,6310,160M,BF1,NO DATA,NO DATA,NO DATA
DRIER DILUTION FAN-007/3,5.5,415,11.4,0,0,1445,BBL,FOOT,6310,6310,160S,BF1,NO DATA,NO DATA,NO DATA
REVERSIBLE CONVEYOR-008,3.7,415,8.3,0,0,0,KEC,FOOT,6308,6208,KH132S,BF1,NO DATA,NO DATA,NO DATA
CHAIN BUCKET ELEVATOR-009,5.5,415,11,0,0,1440,KEC,FOOT,6308,6208,KH132S,BF1,NO DATA,NO DATA,NO DATA
REVERSIBLE CONVEYOR-010,3.7,415,8.5,0,0,950,KEC,FOOT,6308,6208,KH132S,BF1,NO DATA,NO DATA,NO DATA
DISINTEGRATOR-012,45,415,77,0,0,1475,KEC,FOOT,6313,6313,LD225LMK11,BF1,NO DATA,NO DATA,NO DATA
BELT BUCKET ELEVATOR-013,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW CONVEYOR-014,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
FOUR ROLL CRUSHER-016A,22,415,38,0,0,1465,KEC,FOOT,6310,6209,LD180LMK11,BF1,NO DATA,NO DATA,NO DATA
FOUR ROLL CRUSHER-016B,15,415,30,0,0,725,KEC,FOOT,6132,6310,LD200LMK11,BF1,NO DATA,NO DATA,NO DATA
BELT BUCKET ELEVATOR-017,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW CONVEYOR-018,5.5,415,11,0,0,1440,KEC,FOOT,6308,6208,KH132S,BF1,NO DATA,NO DATA,NO DATA
RECIPROCATING FEEDER-021,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
JAW CRUSHER-022,30,415,52,0,0,1470,KEC,FOOT,6132,6310,LD200LMK11,BF1,NO DATA,NO DATA,NO DATA
BELT BUCKET ELEVATOR-023A,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
INCLINED CONVEYOR-023,5.5,415,11,0,0,1430,KEC,FOOT,6308,6208,KH132S,BF1,NO DATA,NO DATA,NO DATA
HAMMER MILL-025,22,415,38,0,0,1465,KEC,FOOT,6310,6309,LD180LMK11,BF1,NO DATA,NO DATA,NO DATA
SCREW CONVEYOR-026,2.2,415,4.9,0,0,1400,KEC,FOOT,6206,6206,KH100L,BF1,NO DATA,NO DATA,NO DATA
BELT BUCKET ELEVATOR-027,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW CONVEYOR-028,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW FEEDER-029-1/01,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW CONVEYOR-029-1/02,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW CONVEYOR-029-1/03,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW FEEDER-029-1/04,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW FEEDER-029-1/05,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW FEEDER-029-1/06,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW FEEDER-029-1/07,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW FEEDER-029-1/08,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW FEEDER-029-1/09,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW FEEDER-029-1/10,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW FEEDER-029-1/11,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
SCREW FEEDER-029-1/12,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
REVERSIBLE CONVEYOR-030,3.7,415,8.3,0,0,950,KEC,FOOT,6308,6208,KH132S,BF1,NO DATA,NO DATA,NO DATA
BELT CONVEYOR-031-1,3.7,415,8.3,0,0,950,KEC,FOOT,6308,6208,KH132S,BF1,NO DATA,NO DATA,NO DATA
BELT CONVEYOR-031-2,3.7,415,8.3,0,0,950,KEC,FOOT,6308,6208,KH132S,BF1,NO DATA,NO DATA,NO DATA
PAN MIXER-032-1,37,415,65,0,0,1475,KEC,FOOT,6313,6313,LD225SMK11,BF1,NO DATA,NO DATA,NO DATA
PAN MIXER-032-2,37,415,65,0,0,1475,KEC,FOOT,6313,6313,LD225SMK11,BF1,NO DATA,NO DATA,NO DATA
DISHCARGE GATE-032-1A,1.1,415,3,0,0,920,KEC,FLAN,6205,6205,CKH90,BF1,NO DATA,NO DATA,NO DATA
DISHCARGE GATE-032-2A,1.1,415,3,0,0,920,KEC,FLAN,6205,6205,CKH90,BF1,NO DATA,NO DATA,NO DATA
TRANSFER CAR-033-1,1.1,415,3,0,0,690,KEC,FOOT,6206,6206,KH100L,BF1,NO DATA,NO DATA,NO DATA
TRANSFER CAR-033-2,1.1,415,3,0,0,690,KEC,FOOT,6206,6206,KH100L,BF1,NO DATA,NO DATA,NO DATA
EXHAUST FAN-037,18.5,415,34,0,0,1460,SMNS,FOOT,6310,6310,180M,BF1,NO DATA,NO DATA,NO DATA
DEHYDRATOR TAR TANK-040,0.75,415,2.1,0,0,1400,CGL,FOOT,6304Z,6304Z,D80,BF1,NO DATA,NO DATA,NO DATA
DEHYDRATED TAR TANK-040-1,0.75,415,2.1,0,0,1400,CGL,FOOT,6304Z,6304Z,D80,BF1,NO DATA,NO DATA,NO DATA
DEHYDRATED TAR TANK-040-2,7.5,415,15.5,0,0,1440,CGL,FOOT,6308,6208,ND132,BF1,NO DATA,NO DATA,NO DATA
DEHYDRATED TAR TANK-040-3,7.5,415,15.5,0,0,1440,CGL,FOOT,6308,6208,ND132,BF1,NO DATA,NO DATA,NO DATA
EXHAUST FAN-151-1,30,415,52,0,0,1470,KEC,FOOT,6132,6310,LD200LMK11,BF1,NO DATA,NO DATA,NO DATA
SCREW CONVEYOR-151-2,3.7,415,8.3,0,0,950,KEC,FLAN,6308,6208,CHS132S,BF1,NO DATA,NO DATA,NO DATA
ROTARY AIR LOCK-151-3,0.75,415,2,0,0,900,KEC,FLAN,6205,6205,CKH90,BF1,NO DATA,NO DATA,NO DATA
EXHAUST FAN-152-1,30,415,52,0,0,1470,KEC,FOOT,6132,6310,LD200LMK11,BF1,NO DATA,NO DATA,NO DATA
SCREW CONVEYOR-152-2,3.7,415,8.3,0,0,950,KEC,FLAN,6308,6208,CKH132,BF1,NO DATA,NO DATA,NO DATA
ROTARY AIR LOCK-152-3,0.75,415,2,0,0,900,KEC,FLAN,6205,6205,CKH90,BF1,NO DATA,NO DATA,NO DATA
EXHAUST FAN-153-1,75,415,128,0,0,1482,KEC,FOOT,N317,6317,LD280SMK11,BF1,NO DATA,NO DATA,NO DATA
SCREW CONVEYOR-153-2,3.7,415,8.3,0,0,950,KEC,FLAN,6308,6208,CKH132,BF1,NO DATA,NO DATA,NO DATA
ROTARY AIR LOCK-153-3,0.75,415,2,0,0,900,KEC,FLAN,6205,6205,CKH90,BF1,NO DATA,NO DATA,NO DATA
EXHAUST FAN-154-1,55,415,93,0,0,1475,KEC,FOOT,N315,6315,LD250MMK11,BF1,NO DATA,NO DATA,NO DATA
SCREW CONVEYOR-154-2,3.7,415,8.3,0,0,950,KEC,FLAN,6308,6208,CKH132,BF1,NO DATA,NO DATA,NO DATA
LRS TRANSFER CAR,2.2,415,5.2,0,0,935,BBL,FOOT,6306,6206,112M,BF1,NO DATA,NO DATA,NO DATA
LRS MORTAR M/C,2.2,415,4,0,0,925,GEC,FOOT,6206Z,6206Z,112M,BF1,NO DATA,NO DATA,NO DATA
LRS MORTAR M/C,3.7,415,7.8,0,0,1430,GEC,FOOT,6206Z,6206Z,112M,BF1,NO DATA,NO DATA,NO DATA
