Title,drwg_link,icon
BF2 FMS PLC 1R1-6 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-fms-plc-1r1-6-panel.pdf,https://cdn4.iconfinder.com/data/icons/it-components-2/24/microchip_processor_chip_cpu_fast_turbo_boost-256.png
BF2 GCP PLC 8R1-1 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-gcp-plc-8r1-1-panel.pdf,https://cdn4.iconfinder.com/data/icons/seo-and-digital-marketing-2-2/128/80-256.png
BF2 GCP PLC 8R1-2 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-gcp-plc-8r1-2-panel.pdf,https://cdn2.iconfinder.com/data/icons/engineering-butterscotch-vol-1/512/Electronics-512.png
BF2 STOVES PLC 10R1-1 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stoves-plc-10r1-1-panel.pdf,https://cdn2.iconfinder.com/data/icons/engineering-butterscotch-vol-1/512/Circuit_Board-512.png
BF2 STOVES PLC 10R1-2 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stoves-plc-10r1-2-panel.pdf,https://cdn4.iconfinder.com/data/icons/big-data-free/32/Data-08-256.png
BF2 STOVES PLC 10R1-3 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stoves-plc-10r1-3-panel.pdf,https://cdn3.iconfinder.com/data/icons/network-and-communications-8/32/network_hardware_processor_microprocessor-256.png
BF2 STOVES PLC 10R2-1 PANEL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stoves-plc-10r2-1-panel.pdf,https://cdn4.iconfinder.com/data/icons/it-components-2/24/microchip_processor_chip_cpu_hot_burn-256.png
BF2 BLT CRANE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-blt-crane.pdf,https://cdn0.iconfinder.com/data/icons/logistics-rounded-volume-1/512/Container_Crane-256.png
BF2 BLT EOT CRANE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-blt-eot-crane.pdf,https://cdn4.iconfinder.com/data/icons/construction-icon-set/748/Flat_Design_Single_05_2016_construction_30-256.png
BF3 CONVEYOR ROUTE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf3-conveyor-route.pdf,https://cdn4.iconfinder.com/data/icons/manufacturing-flat/48/worker_conveyor-256.png
BF3 COUT OFF VALVE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf3-cut-off-valve.pdf,https://cdn4.iconfinder.com/data/icons/flat-industrial-equipment-1/32/fluid_shut_off_close_open_butterfly_valve-256.png
